Patent_Number,Title,Date,CPC,Abstract
Deep Learning Patent Data,Deep Learning Patent Data,Deep Learning Patent Data,Deep Learning Patent Data,Deep Learning Patent Data
"9,324,022",Classifying data with deep learning neural records incrementally refined through expert input,"April 26, 2016",G06N 3/0454 (20130101); G06N 3/084 (20130101); G06N 3/086 (20130101),"Embodiments are directed towards classifying data using machine learning that may be incrementally refined based on expert input. Data provided to a deep learning model that may be trained based on a plurality of classifiers and sets of training data and/or testing data. If the number of classification errors exceeds a defined threshold classifiers may be modified based on data corresponding to observed classification errors. A fast learning model may be trained based on the modified classifiers, the data, and the data corresponding to the observed classification errors. And, another confidence value may be generated and associated with the classification of the data by the fast learning model. Report information may be generated based on a comparison result of the confidence value associated with the fast learning model and the confidence value associated with the deep learning model."
"9,262,688","Method and system for analyzing and recognition of an emotion or expression from multimedia, text, or sound track","February 16, 2016",G06N 7/02 (20130101); G06K 9/6267 (20130101); G05B 13/0275 (20130101); G06F 17/28 (20130101); G06F 17/274 (20130101); G06K 9/4609 (20130101); G06K 9/52 (20130101); G06N 7/005 (20130101); G06T 7/12 (20170101); G06N 20/00 (20190101); G06N 5/046 (20130101); G06N 5/02 (20130101); G06F 16/90344 (20190101); G06N 5/047 (20130101),"Specification covers new algorithms, methods, and systems for artificial intelligence, soft computing, and deep learning/recognition, e.g., image recognition (e.g., for action, gesture, emotion, expression, biometrics, fingerprint, facial, OCR (text), background, relationship, position, pattern, and object), large number of images (""Big Data"") analytics, machine learning, training schemes, crowd-sourcing (using experts or humans), feature space, clustering, classification, similarity measures, optimization, search engine, ranking, question-answering system, soft (fuzzy or unsharp) boundaries/impreciseness/ambiguities/fuzziness in language, Natural Language Processing (NLP), Computing-with-Words (CWW), parsing, machine translation, sound and speech recognition, video search and analysis (e.g. tracking), image annotation, geometrical abstraction, image correction, semantic web, context analysis, data reliability (e.g., using Z-number (e.g., ""About 45 minutes; Very sure"")), rules engine, control system, autonomous vehicle, self-diagnosis and self-repair robots, system diagnosis, medical diagnosis, biomedicine, data mining, event prediction, financial forecasting, economics, risk assessment, e-mail management, database management, indexing and join operation, memory management, and data compression."
"9,171,261",Analyzing or resolving ambiguities in an image for object or pattern recognition,"October 27, 2015",G06N 7/02 (20130101); G06K 9/6267 (20130101); G05B 13/0275 (20130101); G06F 17/28 (20130101); G06F 17/274 (20130101); G06K 9/4609 (20130101); G06K 9/52 (20130101); G06N 7/005 (20130101); G06T 7/12 (20170101); G06N 20/00 (20190101); G06N 5/046 (20130101); G06N 5/02 (20130101); G06F 16/90344 (20190101); G06N 5/047 (20130101),"Specification covers new algorithms, methods, and systems for artificial intelligence, soft computing, and deep learning/recognition, e.g., image recognition (e.g., for action, gesture, emotion, expression, biometrics, fingerprint, facial, OCR (text), background, relationship, position, pattern, and object), large number of images (""Big Data"") analytics, machine learning, training schemes, crowd-sourcing (using experts or humans), feature space, clustering, classification, similarity measures, optimization, search engine, ranking, question-answering system, soft (fuzzy or unsharp) boundaries/impreciseness/ambiguities/fuzziness in language, Natural Language Processing (NLP), Computing-with-Words (CWW), parsing, machine translation, sound and speech recognition, video search and analysis (e.g. tracking), image annotation, geometrical abstraction, image correction, semantic web, context analysis, data reliability (e.g., using Z-number (e.g., ""About 45 minutes; Very sure"")), rules engine, control system, autonomous vehicle, self-diagnosis and self-repair robots, system diagnosis, medical diagnosis, biomedicine, data mining, event prediction, financial forecasting, economics, risk assessment, e-mail management, database management, indexing and join operation, memory management, and data compression."
"9,063,930","Method and system for analyzing or resolving ambiguities in image recognition for gesture, emotion, or expression recognition for a human","June 23, 2015",G06N 7/02 (20130101); G06K 9/6267 (20130101); G05B 13/0275 (20130101); G06F 17/28 (20130101); G06F 17/274 (20130101); G06K 9/4609 (20130101); G06K 9/52 (20130101); G06N 7/005 (20130101); G06T 7/12 (20170101); G06N 20/00 (20190101); G06N 5/046 (20130101); G06N 5/02 (20130101); G06F 16/90344 (20190101); G06N 5/047 (20130101),"Specification covers new algorithms, methods, and systems for artificial intelligence, soft computing, and deep learning/recognition, e.g., image recognition (e.g., for action, gesture, emotion, expression, biometrics, fingerprint, facial, OCR (text), background, relationship, position, pattern, and object), large number of images (""Big Data"") analytics, machine learning, training schemes, crowd-sourcing (using experts or humans), feature space, clustering, classification, similarity measures, optimization, search engine, ranking, question-answering system, soft (fuzzy or unsharp) boundaries/impreciseness/ambiguities/fuzziness in language, Natural Language Processing (NLP), Computing-with-Words (CWW), parsing, machine translation, sound and speech recognition, video search and analysis (e.g. tracking), image annotation, geometrical abstraction, image correction, semantic web, context analysis, data reliability (e.g., using Z-number (e.g., ""About 45 minutes; Very sure"")), rules engine, control system, autonomous vehicle, self-diagnosis and self-repair robots, system diagnosis, medical diagnosis, biomedicine, data mining, event prediction, financial forecasting, economics, risk assessment, e-mail management, database management, indexing and join operation, memory management, and data compression."
"8,949,170",System and method for analyzing ambiguities in language for natural language processing,"February 3, 2015",G06N 7/02 (20130101); G06K 9/6267 (20130101); G05B 13/0275 (20130101); G06F 17/28 (20130101); G06F 17/274 (20130101); G06K 9/4609 (20130101); G06K 9/52 (20130101); G06N 7/005 (20130101); G06T 7/12 (20170101); G06N 20/00 (20190101); G06N 5/046 (20130101); G06N 5/02 (20130101); G06N 5/047 (20130101); G06F 16/90344 (20190101),"Specification covers new algorithms, methods, and systems for artificial intelligence, soft computing, and deep learning/recognition, e.g., image recognition (e.g., for action, gesture, emotion, expression, biometrics, fingerprint, facial, OCR (text), background, relationship, position, pattern, and object), large number of images (""Big Data"") analytics, machine learning, training schemes, crowd-sourcing (using experts or humans), feature space, clustering, classification, similarity measures, optimization, search engine, ranking, question-answering system, soft (fuzzy or unsharp) boundaries/impreciseness/ambiguities/fuzziness in language, Natural Language Processing (NLP), Computing-with-Words (CWW), parsing, machine translation, sound and speech recognition, video search and analysis (e.g. tracking), image annotation, geometrical abstraction, image correction, semantic web, context analysis, data reliability (e.g., using Z-number (e.g., ""About 45 minutes; Very sure"")), rules engine, control system, autonomous vehicle, self-diagnosis and self-repair robots, system diagnosis, medical diagnosis, biomedicine, data mining, event prediction, financial forecasting, economics, risk assessment, e-mail management, database management, indexing and join operation, memory management, and data compression."
"9,760,806",Method and system for vision-centric deep-learning-based road situation analysis,"September 12, 2017",B60W 50/14 (20130101); G06K 9/4628 (20130101); G06T 7/277 (20170101); G06K 9/00791 (20130101); G06T 2207/30261 (20130101); G06T 2207/20081 (20130101); G06T 2207/20084 (20130101); B60W 2050/146 (20130101),"In accordance with various embodiments of the disclosed subject matter, a method and a system for vision-centric deep-learning-based road situation analysis are provided. The method can include: receiving real-time traffic environment visual input from a camera; determining, using a ROLO engine, at least one initial region of interest from the real-time traffic environment visual input by using a CNN training method; verifying the at least one initial region of interest to determine if a detected object in the at least one initial region of interest is a candidate object to be tracked; using LSTMs to track the detected object based on the real-time traffic environment visual input, and predicting a future status of the detected object by using the CNN training method; and determining if a warning signal is to be presented to a driver of a vehicle based on the predicted future status of the detected object."
Reinforcement Learning Patent Data,Reinforcement Learning Patent Data,Reinforcement Learning Patent Data,Reinforcement Learning Patent Data,Reinforcement Learning Patent Data
"7,395,252",Innervated stochastic controller for real time business decision-making support,"July 1, 2008",G06N 5/022 (20130101); G06N 20/00 (20190101); G06Q 10/10 (20130101); G06Q 10/04 (20130101),"An Innervated Stochastic Controller optimizes business decision-making under uncertainty through time. The Innervated Stochastic Controller uses a unified reinforcement learning algorithm to treat multiple interconnected operational levels of a business process in a unified manner. The Innervated Stochastic Controller generates actions that are optimized with respect to both financial profitability and engineering efficiency at all levels of the business process. The Innervated Stochastic Controller can be configured to evaluate real options. In one embodiment of the invention, the Innervated Stochastic Controller is configured to generate actions that are martingales. In another embodiment of the invention, the Innervated Stochastic Controller is configured as a computer-based learning system for training power grid operators to respond to grid exigencies."
"7,174,354","System and method for garbage collection in a computer system, which uses reinforcement learning to adjust the allocation of memory space, calculate a reward, and use the reward to determine further actions to be taken on the memory space","February 6, 2007",G06F 12/0253 (20130101); Y10S 707/99944 (20130101); Y10S 707/99957 (20130101),"A system and method for use with a virtual machine, including an adaptive, automated memory management process that takes decisions regarding which garbage collector technique should be used, based on information extracted from the currently active applications. Reinforcement learning is used to decide under which circumstances to invoke the garbage collecting processing. The learning task is specified by rewards and penalties that indirectly tell the RLS agent what it is supposed to do instead of telling it how to accomplish the task. The decision is based on information about the memory allocation behavior of currently running applications. Embodiments of the system can be applied to the task of intelligent memory management in virtual machines, such as the Java Virtual Machine (JVM)."
"6,917,925",Convergent actor critic-based fuzzy reinforcement learning apparatus and method,"July 12, 2005",G06N 7/023 (20130101),"A system is controlled by an actor-critic based fuzzy reinforcement learning algorithm that provides instructions to a processor of the system for applying actor-critic based fuzzy reinforcement learning. The system includes a database of fuzzy-logic rules for mapping input data to output commands for modifying a system state, and a reinforcement learning algorithm for updating the fuzzy-logic rules database based on effects on the system state of the output commands mapped from the input data. The reinforcement learning algorithm is configured to converge at least one parameter of the system state to at least approximately an optimum value following multiple mapping and updating iterations. The reinforcement learning algorithm may be based on an update equation including a derivative with respect to at least one parameter of a logarithm of a probability function for taking a selected action when a selected state is encountered."
